"city","customer_age","customer_name","customer_segment","discount","order_date","order_id","order_priority","order_quantity","product_base_margin","product_category","product_container","product_name","product_subcategory","profit","region","row_id","sales","ship_date","ship_mode","shipping_cost","state","unit_price","zip_code","order_year","order_quarter","order_month","order_month_name","shipping_days","profit_margin_pct","is_loss_making","discount_band"
"Phenix City","","Patrick Jones","Home Office","0.03","2012-01-03","40354","High","29","0.37","Office Supplies","Small Box","Avery Heavy-Duty EZD ™ Binder With Locking Rings","Binders and Binder Accessories","12.5545","South","5704","172.51","2012-01-04","Regular Air","2.99","Alabama","5.58","36869","2012","Q1","1","January","1","7.277549127586807","0","1-5%"
"Lake Oswego","","Alex Russell","Home Office","0.03","2012-01-03","7909","High","29","0.44","Office Supplies","Wrap Bag","Dixon Prang® Watercolor Pencils, 10-Color Set with Brush","Pens & Art Supplies","24.55","West","1074","122.23","2012-01-04","Regular Air","1.2","Oregon","4.26","97035","2012","Q1","1","January","1","20.085085494559436","0","1-5%"
"Kearney","","Bill Donatelli","Corporate","0.03","2012-01-03","30016","Critical","15","0.4","Office Supplies","Small Box","Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","Paper","-41.58","Central","4223","85.56","2012-01-05","Regular Air","5.66","Nebraska","5.28","68847","2012","Q1","1","January","2","-48.59747545582047","1","1-5%"
"Layton","","Ann Steele","Corporate","0.0","2012-01-03","11972","Not Specified","4","0.59","Technology","Jumbo Drum","Panasonic KX-P2130 Dot Matrix Printer","Office Machines","-452.2695","West","1663","896.49","2012-01-05","Delivery Truck","14.7","Utah","213.45","84041","2012","Q1","1","January","2","-50.448917444701","1","0%"
"Baton Rouge","","Andy Reiter","Corporate","0.08","2012-01-03","9637","Low","12","0.66","Technology","Small Box","Fellowes Mobile Numeric Keypad, Graphite","Computer Peripherals","-236.43","South","1315","522.49","2012-01-05","Regular Air","16.71","Louisiana","43.22","70802","2012","Q1","1","January","2","-45.250626806254665","1","6-10%"
"Kearney","","Bill Donatelli","Corporate","0.01","2012-01-03","30016","Critical","8","0.57","Technology","Small Box","T18","Telephones and Communication","-212.553","Central","4224","754.6555","2012-01-06","Regular Air","2.5","Nebraska","110.99","68847","2012","Q1","1","January","3","-28.165566937496646","1","1-5%"
"Baton Rouge","","Andy Reiter","Corporate","0.04","2012-01-03","9637","Low","12","0.36","Office Supplies","Wrap Bag","Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","Paper","32.44","South","1317","123.76","2012-01-07","Regular Air","2.27","Louisiana","10.14","70802","2012","Q1","1","January","4","26.212023270846796","0","1-5%"
"Baton Rouge","","Andy Reiter","Corporate","0.05","2012-01-03","9637","Low","49","0.37","Technology","Large Box","Polycom ViaVideo™ Desktop Video Communications Unit","Office Machines","14440.39","South","1316","28359.4","2012-01-10","Regular Air","24.49","Louisiana","574.74","70802","2012","Q1","1","January","7","50.91923665521837","0","1-5%"
"Bryan","","Dave Hallsten","Home Office","0.06","2012-01-04","49730","High","3","0.61","Furniture","Jumbo Drum","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","Chairs & Chairmats","-394.69","Central","6953","1039.56","2012-01-05","Delivery Truck","30.0","Texas","350.98","77803","2012","Q1","1","January","1","-37.967024510369775","1","6-10%"
"Pharr","","Tamara Dahlen","Corporate","0.03","2012-01-04","8710","Critical","17","0.4","Office Supplies","Small Box","Cardinal Poly Pocket Divider Pockets for Ring Binders","Binders and Binder Accessories","-76.015","Central","1193","63.34","2012-01-05","Regular Air","6.27","Texas","3.36","78577","2012","Q1","1","January","1","-120.01105146826649","1","1-5%"
"Pharr","","Tamara Dahlen","Corporate","0.07","2012-01-04","8710","Critical","42","0.35","Office Supplies","Wrap Bag","""While you Were Out"" Message Book, One Form per Page","Paper","8.33","Central","1194","151.35","2012-01-06","Express Air","1.93","Texas","3.71","78577","2012","Q1","1","January","2","5.50379914106376","0","6-10%"
"Bedford","","Darren Budd","Consumer","0.07","2012-01-05","57253","Critical","48","0.6","Furniture","Large Box","Telescoping Adjustable Floor Lamp","Office Furnishings","-335.24","Central","8013","12635.75","2012-01-05","Regular Air","35.0","Texas","279.48","76021","2012","Q1","1","January","0","-2.6531072552084365","1","6-10%"
"Bedford","","Darren Budd","Consumer","0.04","2012-01-05","57253","Critical","25","0.55","Technology","Small Box","232","Telephones and Communication","667.449","Central","8015","2750.107","2012-01-05","Regular Air","5.26","Texas","125.99","76021","2012","Q1","1","January","0","24.269928406422004","0","1-5%"
"Dubuque","","Marina Lichtenstein","Corporate","0.08","2012-01-05","32418","Not Specified","5","0.55","Furniture","Jumbo Drum","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Chairs & Chairmats","-131.31","Central","4555","1244.19","2012-01-06","Delivery Truck","43.32","Iowa","243.98","52001","2012","Q1","1","January","1","-10.553854314855448","1","6-10%"
"Bedford","","Darren Budd","Consumer","0.08","2012-01-05","57253","Critical","49","0.7","Furniture","Jumbo Box","Iceberg OfficeWorks 42"" Round Tables","Tables","-139.15575","Central","8014","240.3","2012-01-06","Regular Air","5.68","Texas","4.91","76021","2012","Q1","1","January","1","-57.90917602996255","1","6-10%"
"Bedford","","Darren Budd","Consumer","0.08","2012-01-05","57253","Critical","43","0.58","Furniture","Jumbo Drum","Metal Folding Chairs, Beige, 4/Carton","Chairs & Chairmats","1.74","Central","8011","78.08","2012-01-06","Regular Air","0.75","Texas","1.81","76021","2012","Q1","1","January","1","2.228483606557377","0","6-10%"
"Norman","","Pauline Chand","Small Business","0.02","2012-01-05","28451","Critical","41","0.59","Furniture","Large Box","Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","Office Furnishings","2593.14","Central","3982","8958.46","2012-01-06","Regular Air","21.21","Oklahoma","209.84","73071","2012","Q1","1","January","1","28.946269782976092","0","1-5%"
"Ormond Beach","","Valerie Dominguez","Corporate","0.09","2012-01-05","25601","Medium","43","0.68","Office Supplies","Small Box","Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H","Storage & Organization","-131.08","South","3588","257.41","2012-01-06","Regular Air","4.69","Florida","5.98","32174","2012","Q1","1","January","1","-50.92265257759993","1","6-10%"
"Deer Park","","Dorris Love","Home Office","0.05","2012-01-05","290","Not Specified","24","0.36","Office Supplies","Wrap Bag","Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4","Paper","-32.48","East","47","188.73","2012-01-06","Regular Air","5.83","New York","7.64","11729","2012","Q1","1","January","1","-17.209770571716206","1","1-5%"
"Fort Dodge","","Matt Collins","Consumer","0.03","2012-01-05","1028","High","6","0.4","Technology","Small Pack","Memorex 4.7GB DVD+RW, 3/Pack","Computer Peripherals","-28.46","Central","164","165.75","2012-01-06","Regular Air","1.99","Iowa","28.48","50501","2012","Q1","1","January","1","-17.170437405731523","1","1-5%"
"Bedford","","Darren Budd","Consumer","0.06","2012-01-05","57253","Critical","29","0.64","Furniture","Jumbo Drum","Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms","Chairs & Chairmats","-1358.9","Central","8012","653.54","2012-01-07","Delivery Truck","53.03","Texas","20.98","76021","2012","Q1","1","January","2","-207.92912446062982","1","6-10%"
"Norman","","Pauline Chand","Small Business","0.01","2012-01-05","28451","Critical","21","0.59","Furniture","Large Box","Electrix Halogen Magnifier Lamp","Office Furnishings","1162.76","Central","3981","4201.08","2012-01-07","Regular Air","11.54","Oklahoma","194.3","73071","2012","Q1","1","January","2","27.677644796100047","0","1-5%"
"Monroe","","Robert Waldorf","Home Office","0.0","2012-01-05","59232","High","23","0.4","Office Supplies","Small Box","IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case","Paper","245.97","South","8291","725.43","2012-01-07","Regular Air","5.76","Louisiana","30.98","71203","2012","Q1","1","January","2","33.90678631983789","0","0%"
"Mount Prospect","","Susan Vittorini","Home Office","0.08","2012-01-05","52386","High","6","0.38","Technology","Jumbo Drum","Canon S750 Color Inkjet Printer","Office Machines","-188.5812","Central","7352","700.73","2012-01-07","Delivery Truck","26.3","Illinois","120.97","60056","2012","Q1","1","January","2","-26.91210594665563","1","6-10%"
"Norman","","Pauline Chand","Small Business","0.0","2012-01-05","28451","Critical","33","0.56","Technology","Jumbo Drum","Panasonic KX-P1150 Dot Matrix Printer","Office Machines","1054.93","Central","3983","4913.7","2012-01-07","Delivery Truck","17.85","Oklahoma","145.45","73071","2012","Q1","1","January","2","21.46915766123288","0","0%"
"Fort Dodge","","Matt Collins","Consumer","0.01","2012-01-05","1028","High","11","0.59","Technology","Small Box","3285","Telephones and Communication","-60.39","Central","165","2021.147","2012-01-07","Regular Air","5.99","Iowa","205.99","50501","2012","Q1","1","January","2","-2.987907361513042","1","1-5%"
"Bristol","","Corey Roper","Small Business","0.02","2012-01-06","48226","Low","23","0.62","Furniture","Jumbo Box","Bush Westfield Collection Bookcases, Fully Assembled","Bookcases","-108.8","East","6773","2357.45","2012-01-06","Delivery Truck","35.84","Connecticut","100.98","6010","2012","Q1","1","January","0","-4.615156206918493","1","1-5%"
"Galesburg","","Julia West","Home Office","0.04","2012-01-06","23488","Critical","30","0.62","Furniture","Jumbo Box","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Bookcases","-11053.6","Central","3284","26133.39","2012-01-07","Delivery Truck","44.55","Illinois","880.98","61401","2012","Q1","1","January","1","-42.29684706040816","1","1-5%"
"Petersburg","","Muhammed Yedwab","Consumer","0.03","2012-01-06","16770","Critical","17","0.57","Office Supplies","Wrap Bag","Sanford EarthWrite® Recycled Pencils, Medium Soft, #2","Pens & Art Supplies","0.61","South","2325","37.06","2012-01-07","Regular Air","0.7","Virginia","2.1","23805","2012","Q1","1","January","1","1.645979492714517","0","1-5%"
"Hilton Head Island","","Craig Leslie","Consumer","0.03","2012-01-06","14274","Not Specified","2","0.55","Technology","Small Box","Accessory35","Telephones and Communication","-164.043","South","2003","61.7185","2012-01-07","Regular Air","1.1","South Carolina","35.99","29915","2012","Q1","1","January","1","-265.79226650032","1","1-5%"
"Herndon","","Tracy Collins","Consumer","0.06","2012-01-06","16961","Not Specified","27","0.51","Technology","Small Pack","BASF Silver 74 Minute CD-R","Computer Peripherals","-37.08","South","2350","46.86","2012-01-07","Regular Air","1.99","Virginia","1.7","20170","2012","Q1","1","January","1","-79.1293213828425","1","6-10%"
"Hilton Head Island","","Craig Leslie","Consumer","0.01","2012-01-06","14274","Not Specified","23","0.74","Furniture","Jumbo Drum","Novimex Swivel Fabric Task Chair","Chairs & Chairmats","112.44","South","2001","3674.08","2012-01-08","Delivery Truck","30.0","South Carolina","150.98","29915","2012","Q1","1","January","2","3.060357967164569","0","1-5%"
"Royal Palm Beach","","Victor Price","Consumer","0.05","2012-01-06","6854","Medium","19","0.37","Furniture","Small Pack","G.E. Longer-Life Indoor Recessed Floodlight Bulbs","Office Furnishings","2.39","South","948","129.84","2012-01-08","Express Air","4.95","Florida","6.64","33411","2012","Q1","1","January","2","1.8407270486752927","0","1-5%"
"Royal Palm Beach","","Victor Price","Consumer","0.07","2012-01-06","6854","Medium","1","0.35","Office Supplies","Small Box","GBC VeloBinder Strips","Binders and Binder Accessories","-2.392","South","947","22.13","2012-01-08","Express Air","6.16","Florida","7.68","33411","2012","Q1","1","January","2","-10.808856755535471","1","6-10%"
"Hilton Head Island","","Craig Leslie","Consumer","0.01","2012-01-06","14274","Not Specified","46","0.58","Office Supplies","Medium Box","Eldon Portable Mobile Manager","Storage & Organization","-40.72","South","2002","1413.89","2012-01-08","Express Air","13.99","South Carolina","28.28","29915","2012","Q1","1","January","2","-2.8799977367404814","1","1-5%"
"Herndon","","Tracy Collins","Consumer","0.01","2012-01-06","16961","Not Specified","34","0.4","Office Supplies","Small Box","Xerox 19","Paper","433.24","South","2351","1089.59","2012-01-08","Regular Air","5.09","Virginia","30.98","20170","2012","Q1","1","January","2","39.76174524362375","0","1-5%"
"Fairfax","","Maribeth Schnelling","Corporate","0.09","2012-01-06","41094","Low","46","0.37","Office Supplies","Small Box","Xerox 227","Paper","-225.86","South","5794","298.97","2012-01-08","Regular Air","8.73","Virginia","6.48","20151","2012","Q1","1","January","2","-75.546041408837","1","6-10%"
"San Clemente","","Julia Barnett","Home Office","0.03","2012-01-06","23488","High","29","0.56","Office Supplies","Wrap Bag","Newell 342","Pens & Art Supplies","-73.19","West","3283","101.77","2012-01-08","Regular Air","3.97","California","3.28","92672","2012","Q1","1","January","2","-71.91706789820182","1","1-5%"
"Fairfax","","Maribeth Schnelling","Corporate","0.05","2012-01-06","41094","Low","6","0.84","Office Supplies","Large Box","Tennsco Commercial Shelving","Storage & Organization","-153.46","South","5795","159.05","2012-01-10","Regular Air","35.0","Virginia","20.34","20151","2012","Q1","1","January","4","-96.48538195535995","1","1-5%"
"Las Vegas","","Chloris Kastensmidt","Consumer","0.08","2012-01-07","43909","High","46","0.37","Office Supplies","Small Box","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","Binders and Binder Accessories","-199.134","West","6199","737.25","2012-01-08","Regular Air","13.18","Nevada","15.99","89115","2012","Q1","1","January","1","-27.010376398779247","1","6-10%"
"Franklin Square","","Jasper Cacioppo","Home Office","0.05","2012-01-07","3073","Medium","3","0.4","Office Supplies","Small Box","Avery Reinforcements for Hole-Punch Pages","Binders and Binder Accessories","-11.5805","East","450","10.58","2012-01-08","Regular Air","4.77","New York","1.98","11010","2012","Q1","1","January","1","-109.45652173913044","1","1-5%"
"Franklin Square","","Jasper Cacioppo","Home Office","0.07","2012-01-07","3073","Medium","3","0.41","Technology","Large Box","Canon PC1060 Personal Laser Copier","Copiers and Fax","-2314.74","East","451","2119.67","2012-01-08","Express Air","24.49","New York","699.99","11010","2012","Q1","1","January","1","-109.20284761307184","1","6-10%"
"Franklin Square","","Jasper Cacioppo","Home Office","0.07","2012-01-07","3073","Medium","7","0.39","Technology","Large Box","Polycom ViewStation™ ISDN Videoconferencing Unit","Office Machines","102.61","East","452","45923.76","2012-01-08","Regular Air","24.49","New York","6783.02","11010","2012","Q1","1","January","1","0.2234355375082528","0","6-10%"
"Norman","","Pauline Chand","Small Business","0.07","2012-01-07","32295","High","11","0.58","Technology","Small Box","i1000","Telephones and Communication","-112.244","Central","4540","607.597","2012-01-08","Regular Air","5.99","Oklahoma","65.99","73071","2012","Q1","1","January","1","-18.473428933980912","1","6-10%"
"Lubbock","","George Ashbrook","Consumer","0.09","2012-01-07","18405","Medium","30","0.37","Office Supplies","Small Box","Premium Transparent Presentation Covers by GBC","Binders and Binder Accessories","60.2735","Central","2538","610.65","2012-01-09","Express Air","8.83","Texas","20.98","79424","2012","Q1","1","January","2","9.870384017031032","0","6-10%"
"Lubbock","","George Ashbrook","Consumer","0.03","2012-01-07","18405","Medium","2","0.65","Technology","Small Box","Keytronic French Keyboard","Computer Peripherals","-263.09","Central","2539","158.04","2012-01-10","Regular Air","14.52","Texas","73.98","79424","2012","Q1","1","January","3","-166.47051379397618","1","1-5%"
"Fresno","","Benjamin Venier","Small Business","0.05","2012-01-07","33923","Low","34","0.58","Technology","Small Box","i1000","Telephones and Communication","425.754","West","4778","1961.7915","2012-01-11","Regular Air","5.99","California","65.99","93727","2012","Q1","1","January","4","21.702306284842194","0","1-5%"
"Brunswick","","Julie Kriz","Corporate","0.01","2012-01-07","40704","Low","6","0.56","Office Supplies","Wrap Bag","Newell 310","Pens & Art Supplies","-2.06","East","5733","11.57","2012-01-12","Regular Air","0.7","Maine","1.76","4011","2012","Q1","1","January","5","-17.804667242869492","1","1-5%"
"Garfield Heights","","Sandra Flanagan","Home Office","0.03","2012-01-08","4193","High","3","0.44","Furniture","Small Pack","Executive Impressions 14"" Two-Color Numerals Wall Clock","Office Furnishings","64.25","East","612","75.77","2012-01-08","Regular Air","8.99","Ohio","22.72","44125","2012","Q1","1","January","0","84.79609344067573","0","1-5%"
"Garfield Heights","","Sandra Flanagan","Home Office","0.07","2012-01-08","4193","High","16","0.39","Office Supplies","Small Box","Avery 491","Labels","14.42","East","611","64.29","2012-01-08","Regular Air","0.99","Ohio","4.13","44125","2012","Q1","1","January","0","22.42961580339088","0","6-10%"
"Myrtle Beach","","Luke Schmidt","Home Office","0.07","2012-01-08","30083","Not Specified","23","0.58","Office Supplies","Small Box","Acco 6 Outlet Guardian Premium Surge Suppressor","Appliances","20.43","South","4234","324.28","2012-01-09","Regular Air","3.5","South Carolina","14.56","29577","2012","Q1","1","January","1","6.3001110151720745","0","6-10%"
"Edmonds","","Ruben Dartt","Corporate","0.03","2012-01-08","7203","High","25","0.38","Office Supplies","Small Box","GBC DocuBind TL300 Electric Binding System","Binders and Binder Accessories","9296.348","West","998","21752.01","2012-01-10","Regular Air","19.99","Washington","896.99","98026","2012","Q1","1","January","2","42.73788031542832","0","1-5%"
"Pasadena","","Mark Haberlin","Small Business","0.05","2012-01-09","31715","Not Specified","44","0.56","Office Supplies","Wrap Bag","Newell 337","Pens & Art Supplies","-116.87","West","4451","145.19","2012-01-09","Regular Air","3.97","California","3.28","91104","2012","Q1","1","January","0","-80.49452441628212","1","1-5%"
"Lawton","","Joni Blumstein","Home Office","0.02","2012-01-09","18561","Not Specified","9","0.39","Office Supplies","Small Box","Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","Labels","-38.9","Central","2571","45.87","2012-01-10","Regular Air","6.89","Oklahoma","4.13","73505","2012","Q1","1","January","1","-84.80488336603445","1","1-5%"
"Pasadena","","Mark Haberlin","Small Business","0.01","2012-01-09","31715","Not Specified","11","0.36","Office Supplies","Small Box","Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""","Binders and Binder Accessories","-53.8545","West","4450","68.5","2012-01-10","Regular Air","7.57","California","5.38","91104","2012","Q1","1","January","1","-78.61970802919707","1","1-5%"
"Gilroy","","Cynthia Voltz","Corporate","0.0","2012-01-09","8576","High","43","0.59","Office Supplies","Small Pack","Boston 16765 Mini Stand Up Battery Pencil Sharpener","Pens & Art Supplies","-164.25","West","1173","541.45","2012-01-11","Express Air","8.99","California","11.66","95020","2012","Q1","1","January","2","-30.335211007479913","1","0%"
"Plainfield","","Yana Sorensen","Corporate","0.07","2012-01-09","58343","Not Specified","39","0.4","Office Supplies","Wrap Bag","Acco® Hot Clips™ Clips to Go","Rubber Bands","11.32","East","8161","121.87","2012-01-11","Regular Air","1.35","New Jersey","3.29","7060","2012","Q1","1","January","2","9.28858619840814","0","6-10%"
"Augusta","","Mark Haberlin","Small Business","0.09","2012-01-09","31715","Not Specified","24","0.59","Office Supplies","Wrap Bag","Newell 339","Pens & Art Supplies","-4.09","East","4449","64.11","2012-01-11","Regular Air","0.97","Maine","2.78","4330","2012","Q1","1","January","2","-6.379659959444704","1","6-10%"
"Madison","","Olvera Toch","Home Office","0.1","2012-01-09","40097","Low","47","0.58","Office Supplies","Wrap Bag","12 Colored Short Pencils","Pens & Art Supplies","-71.0","Central","5666","117.88","2012-01-14","Regular Air","2.4","Wisconsin","2.6","53711","2012","Q1","1","January","5","-60.23074312860537","1","6-10%"
"King of Prussia","","Benjamin Patterson","Corporate","0.04","2012-01-09","47138","Low","1","0.59","Technology","Small Box","M70","Telephones and Communication","-506.308","East","6627","107.95","2012-01-16","Regular Air","8.99","Pennsylvania","125.99","19406","2012","Q1","1","January","7","-469.02084298286246","1","1-5%"
"East Lansing","","Kristina Nunn","Consumer","0.05","2012-01-10","55367","Critical","31","0.56","Furniture","Jumbo Box","Hon Metal Bookcases, Putty","Bookcases","-686.01","Central","7731","2137.1","2012-01-11","Delivery Truck","46.74","Michigan","70.98","48823","2012","Q1","1","January","1","-32.10004211314398","1","1-5%"
"Denton","","Darren Powers","Corporate","0.06","2012-01-10","14596","Critical","19","0.56","Office Supplies","Wrap Bag","Newell 337","Pens & Art Supplies","-53.75","Central","2046","63.14","2012-01-11","Regular Air","3.97","Texas","3.28","76201","2012","Q1","1","January","1","-85.12828634779854","1","6-10%"
"Lehi","","Ann Steele","Corporate","0.02","2012-01-10","44391","Not Specified","16","0.37","Office Supplies","Small Box","Xerox 1996","Paper","-85.23","West","6273","112.81","2012-01-11","Regular Air","9.17","Utah","6.48","84043","2012","Q1","1","January","1","-75.55181278255473","1","1-5%"
"Pittsburgh","","Rob Haberlin","Consumer","0.0","2012-01-10","33988","Medium","30","0.79","Technology","Small Pack","Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack","Computer Peripherals","-128.47","East","4787","164.78","2012-01-11","Regular Air","5.14","Pennsylvania","5.02","15122","2012","Q1","1","January","1","-77.9645588056803","1","0%"
"Essex Junction","","Giulietta Dortch","Corporate","0.02","2012-01-10","28999","High","34","0.45","Technology","Small Pack","Imation Neon 80 Minute CD-R Spindle, 50/Pack","Computer Peripherals","420.05","East","4073","1177.5","2012-01-11","Regular Air","1.99","Vermont","33.98","5451","2012","Q1","1","January","1","35.67303609341826","0","1-5%"
"Denton","","Darren Powers","Corporate","0.01","2012-01-10","14596","Critical","24","0.43","Furniture","Wrap Bag","Document Clip Frames","Office Furnishings","73.33","Central","2045","199.12","2012-01-12","Regular Air","0.96","Texas","8.34","76201","2012","Q1","1","January","2","36.82703897147449","0","1-5%"
"Hazelwood","","Maria Bertelson","Home Office","0.01","2012-01-10","28290","Low","3","0.66","Office Supplies","Small Box","Fellowes Super Stor/Drawer® Files","Storage & Organization","-179.36","Central","3965","523.58","2012-01-12","Express Air","19.99","MO","161.55","63042","2012","Q1","1","January","2","-34.25646510561901","1","1-5%"
"East Lansing","","Kristina Nunn","Consumer","0.05","2012-01-10","55367","Critical","48","0.55","Office Supplies","Wrap Bag","Newell 309","Pens & Art Supplies","129.87","Central","7732","571.17","2012-01-12","Regular Air","2.36","Michigan","11.55","48823","2012","Q1","1","January","2","22.737538736278168","0","1-5%"
"Minnetonka","","Sean Wendt","Corporate","0.09","2012-01-10","31553","Critical","32","0.39","Office Supplies","Small Box","Multimedia Mailers","Envelopes","1907.94","Central","4425","4906.85","2012-01-12","Regular Air","19.99","Minnesota","162.93","55345","2012","Q1","1","January","2","38.88319390240174","0","6-10%"
"Hazelwood","","Maria Bertelson","Home Office","0.05","2012-01-10","28290","Low","43","0.74","Technology","Small Box","Fellowes Internet Keyboard, Platinum","Computer Peripherals","-154.24","Central","3964","1307.35","2012-01-14","Express Air","8.65","MO","30.42","63042","2012","Q1","1","January","4","-11.797911806325775","1","1-5%"
"Pleasure Ridge Park","","Michelle Moray","Corporate","0.02","2012-01-10","20037","Low","35","0.42","Furniture","Small Box","Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black","Office Furnishings","339.58","South","2775","1009.42","2012-01-15","Regular Air","8.55","Kentucky","29.18","40258","2012","Q1","1","January","5","33.6411008301797","0","1-5%"
"Pleasure Ridge Park","","Michelle Moray","Corporate","0.03","2012-01-10","20037","Low","49","0.57","Technology","Jumbo Drum","Panasonic KX-P3200 Dot Matrix Printer","Office Machines","4913.16","South","2776","15137.11","2012-01-15","Delivery Truck","14.7","Kentucky","297.64","40258","2012","Q1","1","January","5","32.45771484781441","0","1-5%"
"Trenton","","Bradley Drucker","Small Business","0.03","2012-01-11","33797","Not Specified","18","0.36","Office Supplies","Small Box","Xerox 188","Paper","30.53","East","4758","216.87","2012-01-11","Regular Air","5.01","New Jersey","11.34","8601","2012","Q1","1","January","0","14.077557984045741","0","1-5%"
"Bellingham","","Bradley Drucker","Small Business","0.08","2012-01-11","33797","Not Specified","20","0.57","Technology","Jumbo Drum","Panasonic KX-P3200 Dot Matrix Printer","Office Machines","653.68","East","4754","4531.34","2012-01-11","Delivery Truck","14.7","MA","297.64","2019","2012","Q1","1","January","0","14.425754853972553","0","6-10%"
"Beverly","","Bradley Drucker","Small Business","0.02","2012-01-11","33797","Not Specified","44","0.73","Furniture","Large Box","Tensor ""Hersey Kiss"" Styled Floor Lamp","Office Furnishings","-449.04","East","4755","574.5","2012-01-12","Regular Air","14.37","MA","12.99","1915","2012","Q1","1","January","1","-78.16187989556136","1","1-5%"
